"Assembly","Session","Date","Word","PDF"
"16th Assembly"," 6th Session","2011-8-25","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110825_0.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110825.pdf"
"16th Assembly"," 6th Session","2011-8-24","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110824.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110824.pdf"
"16th Assembly"," 6th Session","2011-8-23","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110823_0.docx",""
"16th Assembly"," 6th Session","2011-8-22","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110822_0.docx",""
"16th Assembly"," 6th Session","2011-8-19","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110819_0.docx",""
"16th Assembly"," 6th Session","2011-8-18","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110818_0.docx",""
"16th Assembly"," 6th Session","2011-8-17","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110817_0.docx",""
"16th Assembly"," 6th Session","2011-5-19","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110519_0.docx",""
"16th Assembly"," 6th Session","2011-5-18","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110518_0.docx",""
"16th Assembly"," 6th Session","2011-5-18","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110518_0.docx",""
"16th Assembly"," 6th Session","2011-5-17","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110517_0.docx",""
"16th Assembly"," 6th Session","2011-5-16","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110516_0.docx",""
"16th Assembly"," 6th Session","2011-5-13","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110513_0.docx",""
"16th Assembly"," 6th Session","2011-5-12","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110512_2.docx","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110512.pdf"
"16th Assembly"," 6th Session","2011-5-11","https://www.assembly.gov.nt.ca/sites/assembly/files/hn110511_0.docx",""
